,bop date,eop date,day count,bop RSP price,eop RSP price,bop SPY price,eop SPY price,eop SPY / eop RSP,bop SPY / RSP moving avg,eop SPY / RSP moving avg,current position,new position,bop RSP shares,eop RSP shares,eop RSP shares bought,eop RSP shares sold,eop RSP shares traded,bop SPY shares,eop SPY shares,eop SPY shares bought,eop SPY shares sold,eop SPY shares traded,RSP daily commission,SPY daily commission,daily total commissions,RSP cop,RSP pct cop,RSP daily position pnl,SPY cop,SPY pct cop,SPY daily position pnl,daily position pnl,short RSP investment amount,long RSP investment amount,RSP investment amount,daily RSP borrow cost,short SPY investment amount,long SPY investment amount,SPY investment amount,daily SPY borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
131,7/15/2025,7/16/2025,1,$182.05 ,$182.76 ,$622.14 ,$624.22 ,3.415517619,3.378067662,3.383702744,1,1,549.299643,547.1656818,0,2.133961187,-2.133961187,-160.7355258,-160.1999295,0.535596254,0,0.535596254,($0.01),($0.00),($0.01),$0.71 ,0.39%,$390.00 ,$2.08 ,0.33%,($334.33),$55.67 ,$0.00 ,100000,"$100,000.00 ",$0.00 ,-100000,$0.00 ,"($100,000.00)",-2.777777778,-1.45519E-11,"$200,000.00 ","($100,000.00)",($2.78),$52.88 ,"$1,993.54 ","($3,245.47)"
132,7/16/2025,7/17/2025,1,$182.76 ,$184.25 ,$624.22 ,$628.04 ,3.408629579,3.383702744,3.387895237,1,1,547.1656818,542.7408412,0,4.42484052,-4.42484052,-160.1999295,-159.225527,0.974402476,0,0.974402476,($0.02),($0.00),($0.03),$1.49 ,0.81%,$815.28 ,$3.82 ,0.61%,($611.96),$203.31 ,$0.00 ,100000,"$100,000.00 ",$0.00 ,-100000,$0.00 ,"($100,000.00)",-2.777777778,($0.00),"$200,000.00 ","($100,000.00)",($2.78),$200.51 ,"$2,194.04 ","($3,044.96)"
133,7/17/2025,7/18/2025,1,$184.25 ,$184.18 ,$628.04 ,$627.58 ,3.407427517,3.387895237,3.390944933,1,1,542.7408412,542.947117,0.206275703,0,0.206275703,-159.225527,-159.3422353,0,0.116708216,-0.116708216,($0.00),($0.00),($0.00),($0.07),-0.04%,($37.99),($0.46),-0.07%,$73.24 ,$35.25 ,$0.00 ,100000,"$100,000.00 ",$0.00 ,-100000,$0.00 ,"($100,000.00)",-2.777777778,0,"$200,000.00 ","($100,000.00)",($2.78),$32.47 ,"$2,226.52 ","($3,012.49)"
134,7/18/2025,7/21/2025,3,$184.18 ,$183.55 ,$627.58 ,$628.77 ,3.425606102,3.390944933,3.39562857,1,1,542.947117,544.8106783,1.863561338,0,1.863561338,-159.3422353,-159.0406667,0.301568554,0,0.301568554,($0.01),($0.00),($0.01),($0.63),-0.34%,($342.06),$1.19 ,0.19%,($189.62),($531.67),$0.00 ,100000,"$100,000.00 ",$0.00 ,-100000,$0.00 ,"($100,000.00)",-8.333333333,0,"$200,000.00 ","($100,000.00)",($8.33),($540.02),"$1,686.50 ","($3,552.51)"
135,7/21/2025,7/22/2025,1,$183.55 ,$185.89 ,$628.77 ,$628.86 ,3.382968422,3.39562857,3.39707702,1,-1,544.8106783,-537.9525526,0,1082.763231,-1082.763231,-159.0406667,159.0179054,318.0585721,0,318.0585721,($5.41),($1.59),($7.00),$2.34 ,1.27%,"$1,274.86 ",$0.09 ,0.01%,($14.31),"$1,260.54 ",$0.00 ,100000,"$100,000.00 ",$0.00 ,-100000,$0.00 ,"($100,000.00)",-2.777777778,0,"$200,000.00 ","($100,000.00)",($2.78),"$1,250.76 ","$2,937.26 ","($2,301.74)"
136,7/22/2025,7/23/2025,1,$185.89 ,$187.43 ,$628.86 ,$634.21 ,3.383716588,3.39707702,3.397589331,-1,-1,-537.9525526,-533.5325188,4.420033778,0,4.420033778,159.0179054,157.6764794,0,1.341426017,-1.341426017,($0.02),($0.01),($0.03),$1.54 ,0.83%,($828.45),$5.35 ,0.85%,$850.75 ,$22.30 ,"($100,000.00)",0,"($100,000.00)",($2.78),0,"$100,000.00 ","$100,000.00 ",0,0,"$200,000.00 ","($100,000.00)",($2.78),$19.49 ,"$2,956.75 ","($2,282.25)"
137,7/23/2025,7/24/2025,1,$187.43 ,$186.83 ,$634.21 ,$634.42 ,3.395707328,3.397589331,3.400299261,-1,-1,-533.5325188,-535.2459455,0,1.713426705,-1.713426705,157.6764794,157.6242868,0,0.052192649,-0.052192649,($0.01),($0.00),($0.01),($0.60),-0.32%,$320.12 ,$0.21 ,0.03%,$33.11 ,$353.23 ,"($100,000.00)",0,"($100,000.00)",($2.78),0,"$100,000.00 ","$100,000.00 ",0,0,"$200,000.00 ","($100,000.00)",($2.78),$350.44 ,"$3,307.20 ","($1,931.81)"
138,7/24/2025,7/25/2025,1,$186.83 ,$187.73 ,$634.42 ,$637.10 ,3.393703723,3.400299261,3.401517589,-1,-1,-535.2459455,-532.6799126,2.566032871,0,2.566032871,157.6242868,156.9612306,0,0.663056174,-0.663056174,($0.01),($0.00),($0.02),$0.90 ,0.48%,($481.72),$2.68 ,0.42%,$422.43 ,($59.29),"($100,000.00)",0,"($100,000.00)",($2.78),0,"$100,000.00 ","$100,000.00 ",0,-1.45519E-11,"$200,000.00 ","($100,000.00)",($2.78),($62.08),"$3,245.11 ","($1,993.89)"
139,7/25/2025,7/28/2025,3,$187.73 ,$186.62 ,$637.10 ,$636.94 ,3.413031829,3.401517589,3.404372151,-1,1,-532.6799126,535.8482478,1068.52816,0,1068.52816,156.9612306,-157.0006594,0,313.96189,-313.96189,($5.34),($1.57),($6.91),($1.11),-0.59%,$591.27 ,($0.16),-0.03%,($25.11),$566.16 ,"($100,000.00)",0,"($100,000.00)",($8.33),0,"$100,000.00 ","$100,000.00 ",0,1.45519E-11,"$200,000.00 ","($100,000.00)",($8.33),$550.92 ,"$3,796.03 ","($1,442.97)"
140,7/28/2025,7/29/2025,1,$186.62 ,$186.53 ,$636.94 ,$635.26 ,3.40567201,3.404372151,3.403198072,1,1,535.8482478,536.1067925,0.258544697,0,0.258544697,-157.0006594,-157.4158612,0,0.415201819,-0.415201819,($0.00),($0.00),($0.00),($0.09),-0.05%,($48.23),($1.68),-0.26%,$263.76 ,$215.53 ,$0.00 ,100000,"$100,000.00 ",$0.00 ,-100000,$0.00 ,"($100,000.00)",-2.777777778,$0.00 ,"$200,000.00 ","($100,000.00)",($2.78),$212.75 ,"$4,008.78 ","($1,230.22)"
