date,XLU,IDU,IDU/XLU,IDU/XLU avg,IDU/XLU 10 dma,IDU/XLU 20 dma,XLU avg,XLU 10 dma,XLU 20 dma,avg diff,10 dma diff,20 dma diff,XLU div,IDU div,XLU*,IDU*,IDU*/XLU*,IDU*/XLU* avg,IDU*/XLU* 10 dma,IDU*/XLU* 20 dma,XLU* avg,XLU* 10 dma,XLU* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-05-21,45.0,113.59,2.5242222222222224,2.53201256111268,2.5268803366266774,2.526129616934373,113.94056525007059,113.71231727586004,113.69431497076886,-0.0030814807415899766,-0.0010762520077475532,-0.0009179250060154605,0.0,0.0,45.0,113.59,2.5242222222222224,2.5327235982420713,2.5268803366266774,2.526129616934373,113.97256192089321,113.71231727586004,113.69431497076886,-0.0033622602774596474,-0.0010762520077475532,-0.0009179250060154605
2026-05-22,45.35,114.48,2.5243660418963616,2.53201256111268,2.5269913594209648,2.525842938518147,114.82676964646004,114.59402326601983,114.55997812797382,-0.0030245065275507515,-0.0009955146708564109,-0.0006983770421055309,0.0,0.0,45.35,114.48,2.5243660418963616,2.5327235982420713,2.5269913594209648,2.525842938518147,114.85901518027794,114.59402326601983,114.55997812797382,-0.003305286063420275,-0.0009955146708564109,-0.0006983770421055309
2026-05-26,45.33,114.41,2.523935583498787,2.53201256111268,2.5273468140933955,2.5257461476562826,114.77612939523777,114.54851832255233,114.4964604030276,-0.0031950424545059484,-0.0012099863369764564,-0.0007554212929334542,0.0,0.0,45.33,114.41,2.523935583498787,2.5327235982420713,2.5273468140933955,2.5257461476562826,114.80836070831309,114.54851832255233,114.4964604030276,-0.003475821990375499,-0.0012099863369764564,-0.0007554212929334542
2026-05-27,45.14,113.85,2.522153300841825,2.53201256111268,2.5270726553526166,2.5255078667524273,114.29504700862637,114.08443518817587,114.0121811052046,-0.0039014440942416614,-0.0020570412772291918,-0.001423501976540353,0.0,0.0,45.14,113.85,2.522153300841825,2.5327235982420713,2.5270726553526166,2.5255078667524273,114.3271432246471,114.08443518817587,114.0121811052046,-0.004182223630111218,-0.0020570412772291918,-0.001423501976540353
2026-05-28,44.63,112.61,2.5231906789155274,2.53201256111268,2.5269851864185595,2.5252116213637033,113.00372060245891,112.78325260838729,112.71341609316084,-0.0034902221468449614,-0.0015373365484942366,-0.0009179347820615489,0.0,0.0,44.63,112.61,2.5231906789155274,2.5327235982420713,2.5269851864185595,2.5252116213637033,113.03545418954364,112.78325260838729,112.71341609316084,-0.0037710016827145446,-0.0015373365484942366,-0.0009179347820615489
2026-05-29,44.42,112.11,2.523863124718595,2.53201256111268,2.5267657082445387,2.5251507754651614,112.47199796462525,112.24868198071242,112.1699002209757,-0.0032237515153797592,-0.0012362525679918352,-0.0005341559572742011,0.0,0.0,44.42,112.11,2.523863124718595,2.5327235982420713,2.5267657082445387,2.5251507754651614,112.50358223391281,112.24868198071242,112.1699002209757,-0.003504531051249338,-0.0012362525679918352,-0.0005341559572742011
2026-06-01,43.1,109.08,2.530858468677494,2.53201256111268,2.5266489109363137,2.525581991058005,109.1297413839565,108.90360202533962,108.83399842254846,-0.0004559043469148726,0.0016184521360869196,0.0022577868676064523,0.0,0.0,43.1,109.08,2.530858468677494,2.5327235982420713,2.5266489109363137,2.525581991058005,109.16038708423328,108.90360202533962,108.83399842254846,-0.0007366838827844839,0.0016184521360869196,0.0022577868676064523
2026-06-02,43.9,110.95,2.5273348519362187,2.53201256111268,2.5260369250329857,2.525681750691693,111.15535143284664,110.91988719010416,110.87304940744642,-0.0018491359171232031,0.00027144566991127515,0.0006938016211199099,0.0,0.0,43.9,110.95,2.5273348519362187,2.5327235982420713,2.5260369250329857,2.525681750691693,111.18656596282692,110.91988719010416,110.87304940744642,-0.002129915452992711,0.00027144566991127515,0.0006938016211199099
2026-06-03,43.71,110.64,2.531228551818806,2.53201256111268,2.5259798072784654,2.526127154991712,110.67426904623524,110.4130739931918,110.3975493227339,-0.00030968673332094985,0.0020531366736835015,0.0021937519235329423,0.0,0.0,43.71,110.64,2.531228551818806,2.5327235982420713,2.5259798072784654,2.526127154991712,110.70534847916093,110.4130739931918,110.3975493227339,-0.000590466269190509,0.0020531366736835015,0.0021937519235329423
2026-06-04,43.94,111.3,2.5329995448338645,2.53201256111268,2.5264152369359705,2.526677810421986,111.25663193529114,110.99155273181576,110.99802719033583,0.0003897261104345697,0.0027751613802055887,0.0027168301871453296,0.0,0.0,43.94,111.3,2.5329995448338645,2.5327235982420713,2.5264152369359705,2.526677810421986,111.2878749067566,110.99155273181576,110.99802719033583,0.00010894657456505589,0.0027751613802055887,0.0027168301871453296
2026-06-05,44.35,112.23,2.5305524239007893,2.53201256111268,2.527048257103827,2.526964296865252,112.29475708534736,112.04651575811029,112.05816089221507,-0.0005768369420246051,0.0016362326854036094,0.0015323068388811024,0.0,0.0,44.35,112.23,2.5305524239007893,2.5327235982420713,2.527048257103827,2.526964296865252,112.32629158203586,112.04651575811029,112.05816089221507,-0.0008576164778941537,0.0016362326854036094,0.0015323068388811024
2026-06-08,43.52,110.16,2.5312499999999996,2.53201256111268,2.5277366529141907,2.5273640061675775,110.19318665962383,109.97714014915856,109.97348619957577,-0.0003012133418883962,0.0016613270507231,0.0016945522307898768,0.0,0.0,43.52,110.16,2.5312499999999996,2.5327235982420713,2.5277366529141907,2.5273640061675775,110.22413099549495,109.97714014915856,109.97348619957577,-0.0005819928777580184,0.0016613270507231,0.0016945522307898768
2026-06-09,43.98,111.52,2.5356980445657116,2.53201256111268,2.528912899020883,2.5281298565571393,111.35791243773565,111.1698579951661,111.15346899125005,0.0014544966709981225,0.003144663134006717,0.0032920970912787076,0.0,0.0,43.98,111.52,2.5356980445657116,2.5327235982420713,2.528912899020883,2.5281298565571393,111.38918385068628,111.1698579951661,111.15346899125005,0.0011737171351284866,0.003144663134006717,0.0032920970912787076
2026-06-10,44.0,111.55,2.5352272727272727,2.53201256111268,2.5302202962094276,2.5286464757810228,111.40855268895791,111.27216755691886,111.23771368851413,0.0012688217456797645,0.0024937607430209063,0.0028034446859294525,0.0,0.0,44.0,111.55,2.5352272727272727,2.5327235982420713,2.5302202962094276,2.5286464757810228,111.43983832265114,111.27216755691886,111.23771368851413,0.0009880422098102514,0.0024937607430209063,0.0028034446859294525
2026-06-11,44.05,111.38,2.528490351872872,2.53201256111268,2.5307502635051624,2.5288677249618607,111.53515331701354,111.45620404802527,111.38687725815404,-0.0013920394352665037,-0.0006839467699730636,-6.174399211301739e-05,0.0,0.0,44.05,111.38,2.528490351872872,2.5327235982420713,2.5307502635051624,2.5288677249618607,111.56647450256324,111.45620404802527,111.38687725815404,-0.0016728189711361016,-0.0006839467699730636,-6.174399211301739e-05
2026-06-12,44.53,112.58,2.5281832472490455,2.53201256111268,2.5311822757582076,2.528973992001373,112.75051934634763,112.69430923388488,112.61047979255166,-0.0015135045123310514,-0.0010148449158212014,-0.0002707023206830919,0.0,0.0,44.53,112.58,2.5281832472490455,2.5327235982420713,2.5311822757582076,2.528973992001373,112.78218182971943,112.69430923388488,112.61047979255166,-0.0017942840482005984,-0.0010148449158212014,-0.0002707023206830919
