,bop date,eop date,day count,bop XLC price,eop XLC price,bop VOX price,eop VOX price,eop VOX / eop XLC,bop VOX / XLC moving avg,eop VOX / XLC moving avg,eop XLC unit price,eop VOX / eop VOX,bop VOX / VOX moving avg,eop VOX / VOX moving avg,eop VOX unit price,XLC unit price pct diff,VOX unit price pct diff,unit price pct diff,month end liquidation,go short,exit short,current_position,new_position,XLC shares per unit,bop XLC shares,eop XLC shares,eop XLC shares bought,eop XLC shares sold,eop XLC shares traded,VOX shares per unit,bop VOX shares,eop VOX shares,eop VOX shares bought,eop VOX shares sold,eop VOX shares traded,XLC daily commission,VOX daily commission,daily total commissions,XLC cop,XLC pct cop,XLC daily position pnl,VOX cop,VOX pct cop,VOX daily position pnl,daily position pnl,short XLC investment amount,long XLC investment amount,XLC investment amount,daily XLC borrow cost,short VOX investment amount,long VOX investment amount,VOX investment amount,daily VOX borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
138,2024-07-22,2024-07-23,1,85.47,85.35,137.68,137.57,1.611833626244874,1.6125154276111051,1.6127012265704075,137.62819174660783,1.0,1.0,1.0,137.57,0.0004229079203304745,0.0,0.0004229079203304745,False,False,False,-1,-1,1172.0,-1170.0,-1172.0,0.0,2.0,-2.0,727.0,726.0,727.0,1.0,-0.0,1.0,-0.01,-0.005,-0.015,-0.12000000000000455,-0.0014049879374770254,140.40000000000532,-0.11000000000001364,-0.0007992734303799106,-79.8600000000099,60.539999999995416,-99999.9,0.0,-99999.9,-2.7777749999999997,0.0,99955.68000000001,99955.68000000001,0.0,-44.21999999998661,199955.58000000002,-99999.9,-2.7777749999999997,57.74722499999542,1171.8580238889035,-36.85377694442195
139,2024-07-23,2024-07-24,1,85.35,83.12,137.57,133.2,1.6025024061597688,1.6127012265704075,1.6122446133123691,134.0477259525323,1.0,1.0,1.0,133.2,0.006344142258211602,0.0,0.006344142258211602,False,True,False,-1,-1,1211.0,-1172.0,-1211.0,0.0,39.0,-39.0,751.0,727.0,751.0,24.0,-0.0,24.0,-0.195,-0.12,-0.315,-2.2299999999999898,-0.026475102449477518,2613.559999999988,-4.3700000000000045,-0.032281120366615484,-3176.9900000000034,-563.4300000000153,-100030.2,0.0,-100030.2,-2.7786166666666667,0.0,100013.39,100013.39,0.0,-16.80999999999767,200043.59,-100030.2,-2.7786166666666667,-566.5236166666821,605.3344072222214,-603.377393611104
140,2024-07-24,2024-07-25,1,83.12,82.16,133.2,131.86,1.6049172346640703,1.6122446133123691,1.6118366825839625,132.46201742974424,1.0,1.0,1.0,131.86,0.004555189738440867,0.0,0.004555189738440867,False,True,False,-1,-1,1222.0,-1211.0,-1222.0,0.0,11.0,-11.0,758.0,751.0,758.0,7.0,-0.0,7.0,-0.055,-0.035,-0.09,-0.960000000000008,-0.011616781170669232,1162.5600000000097,-1.339999999999975,-0.01011100442113499,-1006.3399999999813,156.22000000002845,-100658.32,0.0,-100658.32,-2.7960644444444447,0.0,100033.2,100033.2,0.0,-625.1200000000099,200691.52000000002,-100658.32,-2.7960644444444447,153.333935555584,758.6683427778055,-450.04345805552
141,2024-07-25,2024-07-26,1,82.16,83.7,131.86,133.78,1.5983273596176821,1.6118366825839625,1.6109664687256333,134.91073033227767,1.0,1.0,1.0,133.78,0.008416643223519605,0.0,0.008416643223519605,False,True,False,-1,-1,1204.0,-1222.0,-1204.0,18.0,-0.0,18.0,747.0,758.0,747.0,0.0,11.0,-11.0,-0.09,-0.055,-0.145,1.5400000000000063,0.018570411875126893,-1881.8800000000076,1.9199999999999875,0.014455906005108272,1455.3599999999906,-426.52000000001703,-100399.51999999999,0.0,-100399.51999999999,-2.7888755555555553,0.0,99949.88,99949.88,0.0,-449.63999999998487,200349.4,-100399.51999999999,-2.7888755555555553,-429.45387555557255,329.21446722223294,-879.4973336110925
142,2024-07-26,2024-07-29,3,83.7,84.44,133.78,134.9,1.5975840833728092,1.6109664687256333,1.6101779166486516,136.03000861919247,1.0,1.0,1.0,134.9,0.008341749794064574,0.0,0.008341749794064574,False,True,False,-1,-1,1194.0,-1204.0,-1194.0,10.0,-0.0,10.0,741.0,747.0,741.0,0.0,6.0,-6.0,-0.05,-0.03,-0.08,0.7399999999999949,0.008802245484690226,-890.9599999999939,1.1200000000000045,0.008337103523448236,836.6400000000034,-54.3199999999905,-100774.8,0.0,-100774.8,-8.3979,0.0,99933.66,99933.66,0.0,-841.1399999999994,200708.46000000002,-100774.8,-8.3979,-62.7978999999905,266.41656722224246,-942.295233611083
143,2024-07-29,2024-07-30,1,84.44,84.78,134.9,135.24,1.5951875442321304,1.6101779166486516,1.6092163091005864,136.5108837734727,1.0,1.0,1.0,135.24,0.009353368210890107,0.0,0.009353368210890107,False,True,False,-1,-1,1190.0,-1194.0,-1190.0,4.0,-0.0,4.0,739.0,741.0,739.0,0.0,2.0,-2.0,-0.02,-0.01,-0.03,0.3400000000000034,0.004018442944371233,-405.9600000000041,0.3400000000000034,0.0025172146259749726,251.94000000000253,-154.02000000000155,-100821.36,0.0,-100821.36,-2.8005933333333335,0.0,99960.90000000001,99960.90000000001,0.0,-860.4599999999919,200782.26,-100821.36,-2.8005933333333335,-156.85059333333487,109.56597388890759,-1099.1458269444179
144,2024-07-30,2024-07-31,1,84.78,85.79,135.24,136.38,1.589695768737615,1.6092163091005864,1.6079783459687937,138.05466715773932,1.0,1.0,1.0,136.38,0.012204638446627187,0.0,0.012204638446627187,True,True,False,-1,0,1180.0,-1190.0,0.0,1190.0,-0.0,1190.0,733.0,739.0,0.0,0.0,739.0,-739.0,-5.95,-3.6950000000000003,-9.645,1.0100000000000051,0.011842783660382777,-1201.900000000006,1.1399999999999864,0.008394129252821398,842.4599999999899,-359.4400000000161,-100888.2,0.0,-100888.2,-2.80245,0.0,99942.36,99942.36,0.0,-945.8399999999965,200830.56,-100888.2,-2.80245,-371.8874500000161,-262.3214761111085,-1471.033276944434
145,2024-07-31,2024-08-01,1,85.79,86.14,136.38,136.76,1.5876480148595309,1.6079783459687937,1.606532543668444,138.5112547217519,1.0,1.0,1.0,136.76,0.012724019083648081,0.0,0.012724019083648081,False,True,False,0,-1,1175.0,0.0,-1175.0,0.0,1175.0,-1175.0,731.0,0.0,731.0,731.0,-0.0,731.0,-5.875,-3.6550000000000002,-9.530000000000001,0.3499999999999943,0.004071430041090699,0.0,0.37999999999999545,0.0027824576785936664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.530000000000001,-271.85147611110847,-1480.563276944434
146,2024-08-01,2024-08-02,1,86.14,84.74,136.76,133.86,1.579655416568327,1.606532543668444,1.6045786691003243,136.13756775046392,1.0,1.0,1.0,133.86,0.01687142439120961,0.0,0.01687142439120961,False,True,False,-1,-1,1200.0,-1175.0,-1200.0,0.0,25.0,-25.0,747.0,731.0,747.0,16.0,-0.0,16.0,-0.125,-0.08,-0.20500000000000002,-1.4000000000000057,-0.016386134427551418,1645.0000000000066,-2.8999999999999773,-0.021433087098604243,-2119.8999999999833,-474.89999999997667,-101214.5,0.0,-101214.5,-2.811513888888889,0.0,99971.56,99971.56,0.0,-1242.9400000000023,201186.06,-101214.5,-2.811513888888889,-477.91651388886555,-749.767989999974,-1958.4797908332994
147,2024-08-02,2024-08-05,3,84.74,82.31,133.86,129.82,1.5772081156603084,1.6045786691003243,1.6025031199563535,132.0728702536477,1.0,1.0,1.0,129.82,0.017204942035071356,0.0,0.017204942035071356,False,True,False,-1,-1,1236.0,-1200.0,-1236.0,0.0,36.0,-36.0,770.0,747.0,770.0,23.0,-0.0,23.0,-0.18,-0.115,-0.295,-2.4299999999999926,-0.029095138213860502,2915.999999999991,-4.0400000000000205,-0.030645602067173743,-3017.880000000015,-101.88000000002421,-101688.0,0.0,-101688.0,-8.474,0.0,99993.42000000001,99993.42000000001,0.0,-1694.5799999999872,201681.42,-101688.0,-8.474,-110.64900000002422,-860.4169899999982,-2069.128790833324
