date,FENY,VDE,VDE/FENY,VDE/FENY avg,VDE/FENY 10 dma,VDE/FENY 20 dma,FENY avg,FENY 10 dma,FENY 20 dma,avg diff,10 dma diff,20 dma diff,FENY div,VDE div,FENY*,VDE*,VDE*/FENY*,VDE*/FENY* avg,VDE*/FENY* 10 dma,VDE*/FENY* 20 dma,FENY* avg,FENY* 10 dma,FENY* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-05-20,33.29,169.17,5.081706218083508,5.085845916633113,5.084774236502936,5.086099707798238,169.30781056471633,169.28467315597547,169.31975721694235,-0.000814296051498072,-0.0006776278743274596,-0.0008848552933768645,0.0,0.0,33.29,169.17,5.081706218083508,5.084784432355385,5.084774236502936,5.086099707798238,169.27247375311077,169.28467315597547,169.31975721694235,-0.0006055608511891752,-0.0006776278743274596,-0.0008848552933768645
2026-05-21,32.92,167.28,5.081409477521263,5.085845916633113,5.084262566119686,5.085870118899662,167.4260475755621,167.39076786567665,167.43440238071798,-0.0008726916402558863,-0.0006619512688708419,-0.0009225918608325358,0.0,0.0,32.92,167.28,5.081409477521263,5.084784432355385,5.084262566119685,5.085870118899662,167.39110351313929,167.39076786567665,167.43440238071798,-0.0006639564399469305,-0.0006619512688708419,-0.0009225918608325358
2026-05-22,33.06,168.02,5.0822746521476105,5.085845916633113,5.084047013677946,5.085707121947293,168.13806600389074,168.08572043591684,168.13886613082283,-0.0007024434079419511,-0.00039107002802080874,-0.0007072021460868167,0.0,0.0,33.06,168.02,5.0822746521476105,5.084784432355385,5.084047013677946,5.085707121947293,168.10297333366904,168.0857204359168,168.13886613082283,-0.000493708207632946,-0.00039107002802058665,-0.0007072021460868167
2026-05-26,32.2,163.72,5.084472049689441,5.085845916633113,5.084012215516999,5.085626608817566,163.76423851558627,163.70631384042989,163.75976932670287,-0.0002701718779254128,8.359840977697407e-05,-0.00024288112197058957,0.0,0.0,32.2,163.72,5.084472049689441,5.084784432355385,5.084012215517,5.085626608817565,163.73005872184342,163.70631384042989,163.75976932670287,-6.143667761645149e-05,8.359840977697407e-05,-0.00024288112197058957
2026-05-27,31.64,160.84,5.083438685208597,5.085845916633113,5.0837482530869575,5.0854204490185895,160.9161648022717,160.85814649895786,160.90922590298777,-0.00047343182214474395,-0.00011281693211230281,-0.00043030968520078416,0.0,0.0,31.64,160.84,5.083438685208597,5.084784432355385,5.0837482530869575,5.0854204490185895,160.8825794397244,160.8581464989579,160.90922590298774,-0.0002646966218357629,-0.00011281693211241385,-0.0004303096852006731
2026-05-28,31.61,160.72,5.084466940841506,5.085845916633113,5.0834573849820535,5.085286761264901,160.7635894247727,160.69728228007872,160.7501403934776,-0.0002711766726122172,0.00014135966677301777,-0.00018751597600341063,0.0,0.0,31.61,160.72,5.084466940841506,5.084784432355385,5.0834573849820535,5.085286761264901,160.73003590675373,160.69728228007872,160.7501403934776,-6.244147230336926e-05,0.00014135966677301777,-0.00018751597600341063
2026-05-29,31.28,159.1,5.086317135549872,5.085845916633113,5.08376090606326,5.08520717849844,159.0852602722838,159.01054700223864,159.0677698923661,9.264871486580948e-05,0.0005624019760560685,0.00020259819374554192,0.0,0.0,31.28,159.1,5.086317135549872,5.084784432355385,5.083760906063259,5.08520717849844,159.05205704407646,159.01054700223864,159.0677698923661,0.0003013839151747809,0.0005624019760560685,0.00020259819374554192
2026-06-01,31.84,161.83,5.082600502512563,5.085845916633113,5.0837806906942316,5.084902209699402,161.93333398559832,161.8669472490542,161.91299656339032,-0.000638330399153004,-0.0002282829636091452,-0.0005127311854749186,0.0,0.0,31.84,161.83,5.082600502512563,5.084784432355385,5.0837806906942316,5.084902209699402,161.89953632619546,161.86694724905416,161.91299656339032,-0.000429595198844015,-0.00022828296360903415,-0.0005127311854749186
2026-06-02,32.22,163.72,5.081315952824333,5.085845916633113,5.083312048728741,5.0844567291451295,163.8659554339189,163.79941385416814,163.83554919651473,-0.0008910970763909327,-0.00048494136448227766,-0.0007055243093344366,0.0,0.0,32.22,163.72,5.081315952824333,5.084784432355385,5.083312048728741,5.0844567291451295,163.8317544104905,163.79941385416814,163.83554919651473,-0.0006823618760820004,-0.00048494136448227766,-0.0007055243093344366
2026-06-03,32.58,165.57,5.08195211786372,5.085845916633113,5.082995373224241,5.084073132030797,165.69685996390683,165.61430654758237,165.6516002355483,-0.0007659080061444421,-0.0002675642955946249,-0.0004927229210966781,0.0,0.0,32.58,165.57,5.08195211786372,5.084784432355385,5.082995373224241,5.084073132030797,165.66227680613844,165.61430654758237,165.6516002355483,-0.000557172805835352,-0.0002675642955946249,-0.0004927229210966781
2026-06-04,32.64,165.86,5.081495098039216,5.085845916633113,5.082974261219812,5.083874248861374,166.0020107189048,165.90896898203923,165.9441470294852,-0.0008558420246133025,-0.00029519929211625355,-0.00050720903908234,0.0,0.0,32.64,165.86,5.081495098039216,5.084784432355385,5.082974261219812,5.083874248861374,165.96736387207977,165.90896898203923,165.9441470294852,-0.0006471068243044306,-0.00029519929211625355,-0.00050720903908234
2026-06-05,31.95,162.36,5.081690140845071,5.085845916633113,5.083002327552192,5.0836324468359395,162.49277703642798,162.401027645973,162.42978225112088,-0.0008174598046116827,-0.0002526636061514155,-0.00042970718912996574,0.0,0.0,31.95,162.36,5.081690140845071,5.084784432355385,5.083002327552193,5.0836324468359395,162.45886261375455,162.401027645973,162.42978225112088,-0.0006087246043026374,-0.0002526636061514155,-0.00042970718912996574
2026-06-08,32.34,164.43,5.084415584415584,5.085845916633113,5.0832164207789905,5.083631717228468,164.4762569439149,164.3842952730379,164.4046733306743,-0.0002812773745910564,0.00027799720336670454,0.00015403892247273972,0.0,0.0,32.34,164.43,5.084415584415584,5.084784432355385,5.0832164207789905,5.083631717228468,164.44192854237318,164.38429527303794,164.4046733306743,-7.254217428212202e-05,0.00027799720336648255,0.00015403892247273972
2026-06-09,31.79,161.56,5.082101289713747,5.085845916633113,5.082979344781421,5.08349578014921,161.67904168976668,161.59545001656412,161.608652290693,-0.0007365551792641054,-0.00021939915730643828,-0.0003010953612962197,0.0,0.0,31.79,161.56,5.082101289713747,5.084784432355385,5.082979344781421,5.08349578014921,161.64529710457768,161.59545001656412,161.608652290693,-0.0005278199789550895,-0.00021939915730643828,-0.0003010953612962197
2026-06-10,32.28,164.08,5.083023543990087,5.085845916633113,5.08293783065957,5.083343041873264,164.1711061889169,164.0785732495443,164.09524378321652,-0.0005551005893876607,8.695494020446024e-06,-9.290026299199416e-05,0.0,0.0,32.28,164.08,5.083023543990087,5.084784432355385,5.08293783065957,5.083343041873264,164.13684147643184,164.0785732495443,164.09524378321652,-0.0003463653890788292,8.695494020446024e-06,-9.290026299199416e-05
2026-06-11,31.68,161.1,5.0852272727272725,5.085845916633113,5.083013863848147,5.0832356244151,161.11959863893702,161.02747047529516,161.040307566545,-0.00012164771506130948,0.00045031568294047876,0.00037059897650867495,0.0,0.0,31.68,161.1,5.0852272727272725,5.084784432355385,5.083013863848146,5.0832356244151,161.0859708170186,161.02747047529516,161.040307566545,8.70874852477339e-05,0.00045031568294047876,0.00037059897650867495
2026-06-12,31.93,162.34,5.084246789852803,5.085845916633113,5.082806829278439,5.08328386767085,162.3910601180953,162.30063267267133,162.30771348757415,-0.00031447634542588527,0.00024252865205163452,0.00019890183229979205,0.0,0.0,31.93,162.34,5.084246789852803,5.084784432355385,5.08280682927844,5.083283867670849,162.35716692510744,162.3006326726713,162.30771348757415,-0.00010574114511688272,0.0002425286520518565,0.00019890183229979205
