date,FSTA,VDC,XLP,FSTA scalar,VDC scalar,XLP scalar,FSTA unit price div,FSTA unit price no div,VDC unit price div,VDC unit price no div,XLP unit price div,XLP unit price no div,max_unit_price,min_unit_price,pct_diff,max_sym,min_sym,max_unit_price_no,min_unit_price_no,pct_diff_no,max_sym_no,min_sym_no
7/30/2026,53.91,231.37,85.47,4.329231261,1,2.325458364,231.4706573,231.5281573,231.37,231.37,232.5963264,232.7077264,232.5963264,231.37,0.53%,XLP unit price div,VDC unit price div,232.7077264,231.37,0.58%,XLP unit price no div,VDC unit price no div
7/31/2026,53.66,230.43,85.05,4.329231261,1,2.325458364,230.3883494,230.4458494,230.43,230.43,231.6196339,231.7310339,231.6196339,230.3883494,0.53%,XLP unit price div,FSTA unit price div,231.7310339,230.43,0.56%,XLP unit price no div,VDC unit price no div
8/3/2026,53.56,230.1,84.86,4.329231261,1,2.325458364,229.9554263,230.0129263,230.1,230.1,231.1777968,231.2891968,231.1777968,229.9554263,0.53%,XLP unit price div,FSTA unit price div,231.2891968,230.0129263,0.55%,XLP unit price no div,FSTA unit price no div
8/4/2026,53.9,231.38,85.37,4.329231261,1,2.325458364,231.4273649,231.4848649,231.38,231.38,232.3637805,232.4751805,232.3637805,231.38,0.42%,XLP unit price div,VDC unit price div,232.4751805,231.38,0.47%,XLP unit price no div,VDC unit price no div
8/5/2026,53.85,231.23,85.33,4.329231261,1,2.325458364,231.2109034,231.2684034,231.23,231.23,232.2707622,232.3821622,232.2707622,231.2109034,0.46%,XLP unit price div,FSTA unit price div,232.3821622,231.23,0.50%,XLP unit price no div,VDC unit price no div
8/6/2026,53.77,230.79,85.11,4.329231261,1,2.325458364,230.8645649,230.9220649,230.79,230.79,231.7591614,231.8705614,231.7591614,230.79,0.42%,XLP unit price div,VDC unit price div,231.8705614,230.79,0.47%,XLP unit price no div,VDC unit price no div
8/7/2026,53.87,231.22,85.12,4.329231261,1,2.325458364,231.297488,231.354988,231.22,231.22,231.782416,231.893816,231.782416,231.22,0.24%,XLP unit price div,VDC unit price div,231.893816,231.22,0.29%,XLP unit price no div,VDC unit price no div
8/10/2026,53.71,230.39,84.95,4.329231261,1,2.325458364,230.604811,230.662311,230.39,230.39,231.387088,231.498488,231.387088,230.39,0.43%,XLP unit price div,VDC unit price div,231.498488,230.39,0.48%,XLP unit price no div,VDC unit price no div
8/11/2026,53.62,229.95,84.69,4.329231261,1,2.325458364,230.2151802,230.2726802,229.95,229.95,230.7824689,230.8938689,230.7824689,229.95,0.36%,XLP unit price div,VDC unit price div,230.8938689,229.95,0.41%,XLP unit price no div,VDC unit price no div
8/12/2026,53.82,231.1,85.08,4.329231261,1,2.325458364,231.0810264,231.1385264,231.1,231.1,231.6893976,231.8007976,231.6893976,231.0810264,0.26%,XLP unit price div,FSTA unit price div,231.8007976,231.1,0.30%,XLP unit price no div,VDC unit price no div
8/13/2026,54.3,233.09,86,4.329231261,1,2.325458364,233.1590574,233.2165574,233.09,233.09,233.8288193,233.9402193,233.8288193,233.09,0.32%,XLP unit price div,VDC unit price div,233.9402193,233.09,0.36%,XLP unit price no div,VDC unit price no div
8/14/2026,54.35,233.28,86.09,4.329231261,1,2.325458364,233.375519,233.433019,233.28,233.28,234.0381106,234.1495106,234.0381106,233.28,0.32%,XLP unit price div,VDC unit price div,234.1495106,233.28,0.37%,XLP unit price no div,VDC unit price no div
8/17/2026,53.62,230.22,84.68,4.329231261,1,2.325458364,230.2151802,230.2726802,230.22,230.22,230.7592143,230.8706143,230.7592143,230.2151802,0.24%,XLP unit price div,FSTA unit price div,230.8706143,230.22,0.28%,XLP unit price no div,VDC unit price no div
8/18/2026,54.06,232.12,85.58,4.329231261,1,2.325458364,232.1200419,232.1775419,232.12,232.12,232.8521268,232.9635268,232.8521268,232.12,0.31%,XLP unit price div,VDC unit price div,232.9635268,232.12,0.36%,XLP unit price no div,VDC unit price no div
8/19/2026,54.62,234.4,86.54,4.329231261,1,2.325458364,234.5444115,234.6019115,234.4,234.4,235.0845668,235.1959668,235.0845668,234.4,0.29%,XLP unit price div,VDC unit price div,235.1959668,234.4,0.34%,XLP unit price no div,VDC unit price no div
8/20/2026,53.64,230.2,85.32,4.329231261,1,2.325458364,230.3017648,230.3592648,230.2,230.2,232.2475076,232.3589076,232.2475076,230.2,0.89%,XLP unit price div,VDC unit price div,232.3589076,230.2,0.93%,XLP unit price no div,VDC unit price no div
8/21/2026,54.04,231.75,85.99,4.329231261,1,2.325458364,232.0334573,232.0909573,231.75,231.75,233.8055647,233.9169647,233.8055647,231.75,0.88%,XLP unit price div,VDC unit price div,233.9169647,231.75,0.93%,XLP unit price no div,VDC unit price no div
8/24/2026,54.92,235.69,87.45,4.329231261,1,2.325458364,235.8431808,235.9006808,235.69,235.69,237.2007339,237.3121339,237.2007339,235.69,0.64%,XLP unit price div,VDC unit price div,237.3121339,235.69,0.69%,XLP unit price no div,VDC unit price no div
8/25/2026,54.43,233.53,86.52,4.329231261,1,2.325458364,233.7218575,233.7793575,233.53,233.53,235.0380577,235.1494577,235.0380577,233.53,0.64%,XLP unit price div,VDC unit price div,235.1494577,233.53,0.69%,XLP unit price no div,VDC unit price no div
