date,CWB,ICVT,ICVT/CWB,ICVT/CWB avg,ICVT/CWB 10 dma,ICVT/CWB 20 dma,CWB avg,CWB 10 dma,CWB 20 dma,avg diff,10 dma diff,20 dma diff,CWB div,ICVT div,CWB*,ICVT*,ICVT*/CWB*,ICVT*/CWB* avg,ICVT*/CWB* 10 dma,ICVT*/CWB* 20 dma,CWB* avg,CWB* 10 dma,CWB* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-02-19,94.98,105.26,1.1082333122762686,1.114300691884778,1.1074792438535142,1.107293138344891,105.83627971521622,105.18273630128003,105.14810029790056,-0.005459889180297521,0.0007342966884923026,0.0010636445316576028,0.0,0.0,94.98,105.26,1.1082333122762686,1.114300691884778,1.1074792438535142,1.107293138344891,105.83627971521622,105.18273630128003,105.14810029790056,-0.005459889180297521,0.0007342966884923026,0.0010636445316576028
2026-02-20,94.64,105.05,1.1099957734573118,1.114300691884778,1.1074882448240533,1.1076400932245067,105.45741747997539,104.81183563829659,104.79422261296048,-0.0038708183640765413,0.002269726300869673,0.002437784662583894,0.0,0.0,94.64,105.05,1.1099957734573118,1.114300691884778,1.1074882448240533,1.1076400932245067,105.45741747997539,104.81183563829659,104.79422261296048,-0.0038708183640765413,0.002269726300869673,0.002437784662583894
2026-02-23,94.13,104.37,1.108785721874004,1.114300691884778,1.1072332353190644,1.1078125777418941,104.88912412711414,104.24786848528814,104.26216197522281,-0.004961553712123059,0.0011708635463621247,0.0010337623246559555,0.0,0.0,94.13,104.37,1.108785721874004,1.114300691884778,1.1072332353190644,1.1078125777418941,104.88912412711414,104.24786848528814,104.26216197522281,-0.004961553712123059,0.0011708635463621247,0.0010337623246559555
2026-02-24,94.91,104.9,1.1052576124749764,1.114300691884778,1.1070770348742864,1.1077712961457924,105.75827866678428,105.0875063641324,105.14249175348317,-0.008148584725103903,-0.0017858816194796863,-0.0023089790945966244,0.0,0.0,94.91,104.9,1.1052576124749764,1.114300691884778,1.1070770348742864,1.1077712961457924,105.75827866678428,105.0875063641324,105.14249175348317,-0.008148584725103903,-0.0017858816194796863,-0.0023089790945966244
2026-02-25,95.62,105.69,1.1053126960886843,1.114300691884778,1.1069412149388058,1.1077213688387526,106.54943215802247,105.85870607467928,105.92509133746067,-0.008098748161656002,-0.0015949623476691614,-0.002221877775259225,0.0,0.0,95.62,105.69,1.1053126960886843,1.114300691884778,1.1069412149388058,1.1077213688387526,106.54943215802247,105.85870607467928,105.92509133746067,-0.008098748161656002,-0.0015949623476691614,-0.002221877775259225
2026-02-26,95.07,105.39,1.1085515935626382,1.114300691884778,1.107320183818879,1.1078319110155788,105.93656677748584,105.23690130423226,105.3110705355002,-0.005172733410048314,0.0014537432947318385,0.0007492080414324794,0.0,0.0,95.07,105.39,1.1085515935626382,1.114300691884778,1.107320183818879,1.1078319110155788,105.93656677748584,105.23690130423226,105.3110705355002,-0.005172733410048314,0.0014537432947318385,0.0007492080414324794
2026-02-27,94.38,104.78,1.1101928374655647,1.114300691884778,1.107765513779896,1.1079313018869585,105.16769930008535,104.50887894882581,104.55717576165031,-0.0036932983031224263,0.002590880167143784,0.0021288557246723593,0.0,0.0,94.38,104.78,1.1101928374655647,1.114300691884778,1.107765513779896,1.1079313018869585,105.16769930008535,104.50887894882581,104.55717576165031,-0.0036932983031224263,0.002590880167143784,0.0021288557246723593
2026-03-02,94.74,105.61,1.1147350643867426,1.114300691884778,1.1084253497075136,1.108250496219786,105.56884754916386,104.94970477550734,104.96541154077045,0.0003897402778228371,0.0062718304970568834,0.006122181766960078,0.0,0.0,94.74,105.61,1.1147350643867426,1.114300691884778,1.1084253497075136,1.108250496219786,105.56884754916386,104.94970477550734,104.96541154077045,0.0003897402778228371,0.0062718304970568834,0.006122181766960078
2026-03-03,93.08,103.31,1.109905457670821,1.114300691884778,1.1088334941240998,1.1083311453557254,103.71910840063514,103.17223155077536,103.1559561881377,-0.003952187557691544,0.0013344341412216856,0.0014921960335716883,0.0,0.0,93.08,103.31,1.109905457670821,1.114300691884778,1.1088334941240998,1.1083311453557254,103.71910840063514,103.17223155077536,103.1559561881377,-0.003952187557691544,0.0013344341412216856,0.0014921960335716883
2026-03-04,93.99,104.42,1.1109692520480903,1.114300691884778,1.1091939321305102,1.1083068855287213,104.73312203025027,104.21926011272414,104.17204435198462,-0.0029941916347582054,0.0019242778095530406,0.0023774230275721417,0.0,0.0,93.99,104.42,1.1109692520480903,1.114300691884778,1.1091939321305102,1.1083068855287213,104.73312203025027,104.21926011272414,104.17204435198462,-0.0029941916347582054,0.0019242778095530406,0.0023774230275721417
