date,XLE,IYE,IYE/XLE,IYE/XLE avg,IYE/XLE 10 dma,IYE/XLE 20 dma,XLE avg,XLE 10 dma,XLE 20 dma,avg diff,10 dma diff,20 dma diff,XLE div,IYE div,XLE*,IYE*,IYE*/XLE*,IYE*/XLE* avg,IYE*/XLE* 10 dma,IYE*/XLE* 20 dma,XLE* avg,XLE* 10 dma,XLE* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-03-11,56.98,60.21,1.0566865566865569,1.0597116636322679,1.0565694904691225,1.056600547239014,60.38237059376662,60.19809665276985,60.206308028263585,-0.0028587332732142165,0.0001977167250347766,6.132012844484209e-05,0.0,0.0,56.98,60.21,1.0566865566865569,1.059991528542074,1.0565694904691225,1.056600547239014,60.39831729632738,60.19809665276985,60.206308028263585,-0.0031227937440062017,0.0001977167250347766,6.132012844484209e-05
2026-03-12,57.51,60.71,1.055642496957051,1.0597116636322679,1.0564843305372162,1.0565725593185875,60.94401777549172,60.76331139687923,60.7650974717157,-0.0038472722631285494,-0.0008777467196529319,-0.0009071402557524621,0.0,0.0,57.51,60.71,1.055642496957051,1.059991528542074,1.0564843305372162,1.0565725593185875,60.960112806454674,60.76331139687923,60.7650974717157,-0.0041113327339205065,-0.0008777467196529319,-0.0009071402557524621
2026-03-13,57.7,60.93,1.0559792027729635,1.0597116636322679,1.0564670862937686,1.056592712491693,61.14536299158186,60.95914587199738,60.9642366726825,-0.003528364933459531,-0.0004782357336966496,-0.0005617439268230441,0.0,0.0,57.7,60.93,1.0559792027729635,1.059991528542074,1.0564670862937686,1.056592712491693,61.161511196877676,60.95914587199738,60.9642366726825,-0.0037924254042514278,-0.0004782357336966496,-0.0005617439268230441
2026-03-16,57.9,61.16,1.0563039723661485,1.0597116636322679,1.0563997275696542,1.0565928237134963,61.35730532430831,61.1694442964092,61.17671805326902,-0.0032208591978965546,-0.00015440757509017905,-0.0002733121116721768,0.0,0.0,57.9,61.16,1.0563039723661485,1.059991528542074,1.0563997275696542,1.0565928237134963,61.37350950258608,61.1694442964092,61.17671805326902,-0.0034849196686884574,-0.00015440757509017905,-0.0002733121116721768
2026-03-17,58.51,61.45,1.0502478208853188,1.0597116636322679,1.0557981826942795,1.0562773077810177,62.003729439123994,61.80994806010046,61.82124611547666,-0.008970699467909342,-0.005840487343309491,-0.006023257646273839,0.0,0.3067,58.51,61.7567,1.0554896598871988,1.059991528542074,1.0563223665944674,1.0565393997311119,62.020104334996745,61.80994806010046,61.82124611547666,-0.004256124304285899,-0.0008618517088941526,-0.0010446220118584012
2026-03-18,58.43,61.45,1.0516857778538422,1.0597116636322679,1.055307390485003,1.0560138420187264,61.91895250603341,61.69028781482675,61.718283093644864,-0.007602476234110298,-0.003902672700755694,-0.0043563734298419305,0.0,0.3067,58.43,61.7567,1.0569347937703235,1.059991528542074,1.056356475976839,1.0565383847646443,61.935305012713386,61.72091588011473,61.73359712628887,-0.0028879010704868677,0.0005796049856000326,0.0003741650075883027
2026-03-19,59.36,62.48,1.0525606469002695,1.0597116636322679,1.054897732795426,1.0558238243456173,62.90448435321142,62.643046699189775,62.6849816622316,-0.006770949007503135,-0.002606183205701076,-0.003275386498134389,0.0,0.3067,59.36,62.786699999999996,1.0577274258760108,1.059991528542074,1.0564634961848367,1.0566067060403226,62.921097134257515,62.705320413985156,62.71611851962929,-0.0021382474043424374,0.0012969684790147056,0.0011247793259861031
2026-03-20,59.31,62.42,1.052436351374136,1.0597116636322679,1.0545200138582422,1.0555484115936244,62.851498770029814,62.56598453209672,62.62091102193856,-0.006889044687810493,-0.002336015498526683,-0.0032135273678533943,0.0,0.3067,59.31,62.7267,1.0576074860900353,1.059991528542074,1.0566028907192424,1.0565898500241246,62.86809755783041,62.65884995872267,62.667343735251535,-0.002251647684766397,0.0010822626358835245,0.0009467159270668457
2026-03-23,59.63,63.12,1.0585275867851751,1.0597116636322679,1.0547264657185778,1.0556280094278967,63.190606502392136,62.88102842636699,62.94235178332783,-0.0011179822772043099,0.0037931731692610964,0.0028184201191659565,0.0,0.0,59.63,63.12,1.0585275867851751,1.059991528542074,1.056809342579578,1.056669447858397,63.207294846963876,63.005230373588425,63.004452756938555,-0.0013820427479962916,0.0018199317892143643,0.0018322739621420142
2026-03-24,60.84,64.42,1.0588428665351741,1.0597116636322679,1.0548913279116636,1.0556844903227136,64.47285761538718,64.16955817431827,64.22440809359324,-0.000820179167847932,0.003895217401697484,0.003040817086697846,0.0,0.0,60.84,64.42,1.0588428665351741,1.059991528542074,1.0569742047726638,1.0567259287532136,64.48988459649979,64.29628040254153,64.28776920770487,-0.0010842396386398793,0.0019223618826115577,0.002054745251697965
