date,FENY,IYE,VDE,XLE,FENY scalar,IYE scalar,VDE scalar,XLE scalar,FENY unit price div,FENY unit price no div,IYE unit price div,IYE unit price no div,VDE unit price div,VDE unit price no div,XLE unit price div,XLE unit price no div,max_unit_price,min_unit_price,pct_diff,max_sym,min_sym,max_unit_price_no,min_unit_price_no,pct_diff_no,max_sym_no,min_sym_no
7/28/2026,31.89,61.1,162.02,57.57,5.097790053,2.661110548,1,2.738800444,162.1554248,162.1939248,163.2958545,163.0863545,162.02,162.02,163.2147416,163.2367416,163.2958545,162.02,0.78%,IYE unit price div,VDE unit price div,163.2367416,162.02,0.75%,XLE unit price no div,VDE unit price no div
7/29/2026,32.48,62.24,165.14,58.65,5.097790053,2.661110548,1,2.738800444,165.1631209,165.2016209,166.3295205,166.1200205,165.14,165.14,166.1726461,166.1946461,166.3295205,165.14,0.72%,IYE unit price div,VDE unit price div,166.1946461,165.14,0.64%,XLE unit price no div,VDE unit price no div
7/30/2026,32.71,62.56,166.28,58.96,5.097790053,2.661110548,1,2.738800444,166.3356126,166.3741126,167.1810759,166.9715759,166.28,166.28,167.0216742,167.0436742,167.1810759,166.28,0.54%,IYE unit price div,VDE unit price div,167.0436742,166.28,0.46%,XLE unit price no div,VDE unit price no div
7/31/2026,33.05,63.14,167.97,59.55,5.097790053,2.661110548,1,2.738800444,168.0688613,168.1073613,168.72452,168.51502,167.97,167.97,168.6375665,168.6595665,168.72452,167.97,0.45%,IYE unit price div,VDE unit price div,168.6595665,167.97,0.41%,XLE unit price no div,VDE unit price no div
8/3/2026,32.63,62.47,165.87,58.79,5.097790053,2.661110548,1,2.738800444,165.9277894,165.9662894,166.9415759,166.7320759,165.87,165.87,166.5560781,166.5780781,166.9415759,165.87,0.64%,IYE unit price div,VDE unit price div,166.7320759,165.87,0.52%,IYE unit price no div,VDE unit price no div
8/4/2026,32.5,62.25,165.25,58.52,5.097790053,2.661110548,1,2.738800444,165.2650767,165.3035767,166.3561316,166.1466316,165.25,165.25,165.816602,165.838602,166.3561316,165.25,0.67%,IYE unit price div,VDE unit price div,166.1466316,165.25,0.54%,IYE unit price no div,VDE unit price no div
8/5/2026,31.79,60.91,161.57,57.31,5.097790053,2.661110548,1,2.738800444,161.6456458,161.6841458,162.7902435,162.5807435,161.57,161.57,162.5026535,162.5246535,162.7902435,161.57,0.75%,IYE unit price div,VDE unit price div,162.5807435,161.57,0.62%,IYE unit price no div,VDE unit price no div
8/6/2026,32.3,61.91,164.12,58.16,5.097790053,2.661110548,1,2.738800444,164.2455187,164.2840187,165.451354,165.241854,164.12,164.12,164.8306338,164.8526338,165.451354,164.12,0.81%,IYE unit price div,VDE unit price div,165.241854,164.12,0.68%,IYE unit price no div,VDE unit price no div
8/7/2026,31.95,61.23,162.37,57.5,5.097790053,2.661110548,1,2.738800444,162.4612922,162.4997922,163.6417989,163.4322989,162.37,162.37,163.0230255,163.0450255,163.6417989,162.37,0.78%,IYE unit price div,VDE unit price div,163.4322989,162.37,0.65%,IYE unit price no div,VDE unit price no div
8/10/2026,33.45,63.99,170.07,60.18,5.097790053,2.661110548,1,2.738800444,170.1079773,170.1464773,170.986464,170.776964,170.07,170.07,170.3630107,170.3850107,170.986464,170.07,0.54%,IYE unit price div,VDE unit price div,170.776964,170.07,0.41%,IYE unit price no div,VDE unit price no div
8/11/2026,33.82,64.67,171.96,60.93,5.097790053,2.661110548,1,2.738800444,171.9941596,172.0326596,172.7960191,172.5865191,171.96,171.96,172.4171111,172.4391111,172.7960191,171.96,0.48%,IYE unit price div,VDE unit price div,172.5865191,171.96,0.36%,IYE unit price no div,VDE unit price no div
