,bop date,eop date,day count, bop RSP price , eop RSP price , bop SPY price , eop SPY price , eop SPY / eop RSP , bop SPY / RSP moving avg , eop SPY / RSP moving avg ,current position,new position, bop RSP shares , eop RSP shares , eop RSP shares bought , eop RSP shares sold , eop RSP shares traded , bop SPY shares , eop SPY shares , eop SPY shares bought , eop SPY shares sold , eop SPY shares traded ,  RSP daily commission  ,  SPY daily commission  ,  daily total commissions  ,  RSP cop  , RSP pct cop ,  RSP daily position pnl  ,  SPY cop  , SPY pct cop ,  SPY daily position pnl  ,  daily position pnl  ,  short RSP investment amount  ,  long RSP investment amount  ,  RSP investment amount  ,  daily RSP borrow cost  ,  short SPY investment amount  ,  long SPY investment amount  ,  SPY investment amount  ,  daily SPY borrow cost  ,  net investment amount  ,  gross investment amount  ,  short investment amount  ,  daily borrow cost  ,  daily net profit  ,  cumulative net profit  ,  drawdown  
101,5/28/2024,5/29/2024,1,$164.79 ,$162.86 ,$529.81 ,$526.10 ,3.23,3.17,3.18,1,1,606.83,614.02,7.19, -   ,7.19,-188.75,-190.08, -   ,1.33,-1.33, $(0.04), $(0.01), $(0.04), $(1.93), $(0.01)," $(1,171.19)", $(3.71), $(0.01), $700.25 , $(470.94),  $-    ," $100,000.00 "," $100,000.00 ",  $-    ," $(100,000.00)",  $-    ," $(100,000.00)", $(2.78),  $-    ," $200,000.00 "," $(100,000.00)", $(2.78), $(473.76)," $4,695.33 "," $(3,406.73)"
102,5/29/2024,5/30/2024,1,$162.86 ,$163.61 ,$526.10 ,$522.61 ,3.19,3.18,3.18,1,1,614.02,611.21, -   ,2.81,-2.81,-190.08,-191.35, -   ,1.27,-1.27, $(0.01), $(0.01), $(0.02), $0.75 , $0.00 , $460.52 , $(3.49), $(0.01), $663.37 ," $1,123.89 ",  $-    ," $100,000.00 "," $100,000.00 ",  $-    ," $(100,000.00)",  $-    ," $(100,000.00)", $(2.78), $-   ," $200,000.00 "," $(100,000.00)", $(2.78)," $1,121.09 "," $5,816.42 "," $(2,285.64)"
103,5/30/2024,5/31/2024,1,$163.61 ,$165.78 ,$522.61 ,$527.37 ,3.18,3.18,3.18,1,-1,611.21,-603.21, -   ,"1,214.42","-1,214.42",-191.35,189.62,380.97, -   ,380.97, $(6.07), $(1.90), $(7.98), $2.17 , $0.01 ," $1,326.32 ", $4.76 , $0.01 , $(910.81), $415.51 ,  $-    ," $100,000.00 "," $100,000.00 ",  $-    ," $(100,000.00)",  $-    ," $(100,000.00)", $(2.78), $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $404.76 ," $6,221.18 "," $(1,880.89)"
104,5/31/2024,6/3/2024,3,$165.78 ,$164.90 ,$527.37 ,$527.80 ,3.2,3.18,3.19,-1,1,-603.21,606.43,"1,209.64", -   ,"1,209.64",189.62,-189.47, -   ,379.09,-379.09, $(6.05), $(1.90), $(7.94), $(0.88), $(0.01), $530.82 , $0.43 , $0.00 , $81.54 , $612.36 ," $(100,000.00)",  $-    ," $(100,000.00)", $(8.33),  $-    ," $100,000.00 "," $100,000.00 ",  $-    ,  $-    ," $200,000.00 "," $(100,000.00)", $(8.33), $596.08 ," $6,817.26 "," $(1,284.80)"
105,6/3/2024,6/4/2024,1,$164.90 ,$164.40 ,$527.80 ,$528.39 ,3.21,3.19,3.2,1,1,606.43,608.27,1.84, -   ,1.84,-189.47,-189.25,0.21, -   ,0.21, $(0.01), $-   , $(0.01), $(0.50), $(0.00), $(303.21), $0.59 , $0.00 , $(111.78), $(415.00),  $-    ," $100,000.00 "," $100,000.00 ",  $-    ," $(100,000.00)",  $-    ," $(100,000.00)", $(2.78),  $-    ," $200,000.00 "," $(100,000.00)", $(2.78), $(417.79)," $6,399.47 "," $(1,702.59)"
106,6/4/2024,6/5/2024,1,$164.40 ,$165.40 ,$528.39 ,$534.67 ,3.23,3.2,3.2,1,1,608.27,604.59, -   ,3.68,-3.68,-189.25,-187.03,2.22, -   ,2.22, $(0.02), $(0.01), $(0.03), $1.00 , $0.01 , $608.27 , $6.28 , $0.01 ," $(1,188.52)", $(580.24),  $-    ," $100,000.00 "," $100,000.00 ",  $-    ," $(100,000.00)",  $-    ," $(100,000.00)", $(2.78),  $-    ," $200,000.00 "," $(100,000.00)", $(2.78), $(583.05)," $5,816.42 "," $(2,285.64)"
107,6/5/2024,6/6/2024,1,$165.40 ,$165.08 ,$534.67 ,$534.66 ,3.24,3.2,3.21,1,1,604.59,605.77,1.17, -   ,1.17,-187.03,-187.03, -   ,0,0, $(0.01), $-   , $(0.01), $(0.32), $(0.00), $(193.47), $(0.01), $-   , $1.87 , $(191.60),  $-    ," $100,000.00 "," $100,000.00 ",  $-    ," $(100,000.00)",  $-    ," $(100,000.00)", $(2.78), $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $(194.38)," $5,622.04 "," $(2,480.02)"
108,6/6/2024,6/7/2024,1,$165.08 ,$164.56 ,$534.66 ,$534.01 ,3.25,3.21,3.21,1,1,605.77,607.68,1.91, -   ,1.91,-187.03,-187.26, -   ,0.23,-0.23, $(0.01), $-   , $(0.01), $(0.52), $(0.00), $(315.00), $(0.65), $(0.00), $121.57 , $(193.43),  $-    ," $100,000.00 "," $100,000.00 ",  $-    ," $(100,000.00)",  $-    ," $(100,000.00)", $(2.78),  $-    ," $200,000.00 "," $(100,000.00)", $(2.78), $(196.21)," $5,425.82 "," $(2,676.24)"
109,6/7/2024,6/10/2024,3,$164.56 ,$165.00 ,$534.01 ,$535.66 ,3.25,3.21,3.22,1,1,607.68,606.06, -   ,1.62,-1.62,-187.26,-186.69,0.58, -   ,0.58, $(0.01), $-   , $(0.01), $0.44 , $0.00 , $267.38 , $1.65 , $0.00 , $(308.98), $(41.60),  $-    ," $100,000.00 "," $100,000.00 ",  $-    ," $(100,000.00)",  $-    ," $(100,000.00)", $(8.33),  $-    ," $200,000.00 "," $(100,000.00)", $(8.33), $(49.95)," $5,375.88 "," $(2,726.19)"
110,6/10/2024,6/11/2024,1,$165.00 ,$164.32 ,$535.66 ,$536.95 ,3.27,3.22,3.23,1,1,606.06,608.57,2.51, -   ,2.51,-186.69,-186.24,0.45, -   ,0.45, $(0.01), $-   , $(0.01), $(0.68), $(0.00), $(412.12), $1.29 , $0.00 , $(240.82), $(652.95),  $-    ," $100,000.00 "," $100,000.00 ",  $-    ," $(100,000.00)",  $-    ," $(100,000.00)", $(2.78), $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $(655.74)," $4,720.14 "," $(3,381.92)"
