date,IYF,VFH,XLF,IYF scalar,VFH scalar,XLF scalar,IYF unit price div,IYF unit price no div,VFH unit price div,VFH unit price no div,XLF unit price div,XLF unit price no div,max_unit_price,min_unit_price,pct_diff,max_sym,min_sym,max_unit_price_no,min_unit_price_no,pct_diff_no,max_sym_no,min_sym_no
8/6/2026,136.8,141.39,57.81,1.024704366,1,2.601187593,140.5003572,140.0382572,141.39,141.39,142.8418547,142.4766547,142.8418547,140.5003572,1.65%,XLF unit price div,IYF unit price div,142.4766547,140.0382572,1.73%,XLF unit price no div,IYF unit price no div
8/7/2026,136.86,140.9,57.6,1.024704366,1,2.601187593,140.5618395,140.0997395,140.9,140.9,142.2956054,141.9304054,142.2956054,140.5618395,1.23%,XLF unit price div,IYF unit price div,141.9304054,140.0997395,1.30%,XLF unit price no div,IYF unit price no div
8/10/2026,137.35,141.2,57.81,1.024704366,1,2.601187593,141.0639446,140.6018446,141.2,141.2,142.8418547,142.4766547,142.8418547,141.0639446,1.25%,XLF unit price div,IYF unit price div,142.4766547,140.6018446,1.32%,XLF unit price no div,IYF unit price no div
8/11/2026,137.37,141.38,57.8,1.024704366,1,2.601187593,141.0844387,140.6223387,141.38,141.38,142.8158429,142.4506429,142.8158429,141.0844387,1.22%,XLF unit price div,IYF unit price div,142.4506429,140.6223387,1.29%,XLF unit price no div,IYF unit price no div
8/12/2026,137.74,141.68,57.92,1.024704366,1,2.601187593,141.4635793,141.0014793,141.68,141.68,143.1279854,142.7627854,143.1279854,141.4635793,1.17%,XLF unit price div,IYF unit price div,142.7627854,141.0014793,1.24%,XLF unit price no div,IYF unit price no div
8/13/2026,138.51,142.74,58.26,1.024704366,1,2.601187593,142.2526017,141.7905017,142.74,142.74,144.0123892,143.6471892,144.0123892,142.2526017,1.23%,XLF unit price div,IYF unit price div,143.6471892,141.7905017,1.30%,XLF unit price no div,IYF unit price no div
8/14/2026,138.29,142.63,58.16,1.024704366,1,2.601187593,142.0271667,141.5650667,142.63,142.63,143.7522704,143.3870704,143.7522704,142.0271667,1.21%,XLF unit price div,IYF unit price div,143.3870704,141.5650667,1.28%,XLF unit price no div,IYF unit price no div
8/17/2026,137.01,141.16,57.58,1.024704366,1,2.601187593,140.7155451,140.2534451,141.16,141.16,142.2435816,141.8783816,142.2435816,140.7155451,1.08%,XLF unit price div,IYF unit price div,141.8783816,140.2534451,1.15%,XLF unit price no div,IYF unit price no div
8/18/2026,137.18,141.56,57.84,1.024704366,1,2.601187593,140.8897449,140.4276449,141.56,141.56,142.9198904,142.5546904,142.9198904,140.8897449,1.43%,XLF unit price div,IYF unit price div,142.5546904,140.4276449,1.50%,XLF unit price no div,IYF unit price no div
8/19/2026,136.2,140.65,57.48,1.024704366,1,2.601187593,139.8855346,139.4234346,140.65,140.65,141.9834628,141.6182628,141.9834628,139.8855346,1.49%,XLF unit price div,IYF unit price div,141.6182628,139.4234346,1.56%,XLF unit price no div,IYF unit price no div
8/20/2026,134.82,139.3,56.95,1.024704366,1,2.601187593,138.4714426,138.0093426,139.3,139.3,140.6048334,140.2396334,140.6048334,138.4714426,1.53%,XLF unit price div,IYF unit price div,140.2396334,138.0093426,1.60%,XLF unit price no div,IYF unit price no div
8/21/2026,136.16,140.72,57.48,1.024704366,1,2.601187593,139.8445464,139.3824464,140.72,140.72,141.9834628,141.6182628,141.9834628,139.8445464,1.52%,XLF unit price div,IYF unit price div,141.6182628,139.3824464,1.59%,XLF unit price no div,IYF unit price no div
8/24/2026,137.36,142.21,58.22,1.024704366,1,2.601187593,141.0741917,140.6120917,142.21,142.21,143.9083417,143.5431417,143.9083417,141.0741917,1.99%,XLF unit price div,IYF unit price div,143.5431417,140.6120917,2.06%,XLF unit price no div,IYF unit price no div
8/25/2026,137.63,142.41,58.31,1.024704366,1,2.601187593,141.3508618,140.8887618,142.41,142.41,144.1424485,143.7772485,144.1424485,141.3508618,1.96%,XLF unit price div,IYF unit price div,143.7772485,140.8887618,2.03%,XLF unit price no div,IYF unit price no div
