,bop date,eop date,bop XLU price,eop XLU price,XLU cop,XLU pct cop,bop FUTY price,eop FUTY price,FUTY cop,FUTY pct cop,bop VPU price,eop VPU price,VPU cop,VPU pct cop,VPU / XLU,XLU scalar,eop XLU unit price,VPU / FUTY,FUTY scalar,eop FUTY unit price,VPU / VPU,VPU scalar,eop VPU unit price,max_price,min_price,pct_diff
1168,2026-04-24,2026-04-27,46.18,46.19,0.009999999999998,0.0002165205161645,59.65,59.72,0.0700000000000002,0.0011728241270646,199.84,200.11,0.2700000000000102,0.0013501689762045,4.332323013639316,4.3274,199.88260599999998,3.350803750837241,3.352,200.18143999999998,1.0,1.0,200.11,200.18143999999998,199.88260599999998,0.0014939310771200445
1169,2026-04-27,2026-04-28,46.19,46.25,0.0600000000000022,0.0012981395159202,59.72,59.75,0.0300000000000011,0.0005022181406303,200.11,200.26,0.1499999999999772,0.0007493069261845,4.329945945945946,4.3274,200.14225,3.35163179916318,3.352,200.28199999999998,1.0,1.0,200.26,200.28199999999998,200.14225,0.0006980097018303216
1170,2026-04-28,2026-04-29,46.25,45.68,-0.5700000000000003,-0.0124008986106793,59.75,59.0,-0.75,-0.0126317469059005,200.26,197.6,-2.6599999999999966,-0.0133717369658893,4.325744308231173,4.3274,197.675632,3.3491525423728814,3.352,197.768,1.0,1.0,197.6,197.768,197.6,0.0008498412117887243
1171,2026-04-29,2026-04-30,45.68,46.85,1.1700000000000017,0.0252904433366764,59.0,60.4,1.3999999999999986,0.0234516610350498,197.6,202.49,4.890000000000015,0.0244457172974105,4.322091782283885,4.3274,202.73869,3.3524834437086093,3.352,202.46079999999998,1.0,1.0,202.49,202.73869,202.46079999999998,0.0013716208950176115
1172,2026-04-30,2026-05-01,46.85,46.55,-0.3000000000000042,-0.0064240049613552,60.4,60.03,-0.3699999999999974,-0.0061446676770174,202.49,201.12,-1.3700000000000043,-0.0067887577692406,4.320515574650913,4.3274,201.44046999999998,3.3503248375812094,3.352,201.22056,1.0,1.0,201.12,201.44046999999998,201.12,0.001592158652330733
1173,2026-05-01,2026-05-04,46.55,46.37,-0.1799999999999997,-0.0038743053197066,60.03,59.85,-0.1799999999999997,-0.0030030052597695,201.12,200.51,-0.6100000000000136,-0.0030376240273247,4.32413198188484,4.3274,200.66153799999998,3.350208855472013,3.352,200.6172,1.0,1.0,200.51,200.66153799999998,200.51,0.0007554773599490124
1174,2026-05-04,2026-05-05,46.37,46.37,0.0,0.0,59.85,59.85,0.0,0.0,200.51,200.54,0.0300000000000011,0.0001496072811667,4.324778951908562,4.3274,200.66153799999998,3.3507101086048454,3.352,200.6172,1.0,1.0,200.54,200.66153799999998,200.54,0.0006058700787823291
1175,2026-05-05,2026-05-06,46.37,45.71,-0.6599999999999966,-0.0143356060597163,59.85,59.09,-0.759999999999998,-0.0127797266463988,200.54,198.05,-2.4899999999999807,-0.0124942040278534,4.332749945307373,4.3274,197.805454,3.351666948722288,3.352,198.06968,1.0,1.0,198.05,198.06968,197.805454,0.0013348958625745895
1176,2026-05-06,2026-05-07,45.71,45.12,-0.5900000000000034,-0.0129914851538496,59.09,58.3,-0.7900000000000063,-0.0134596120011366,198.05,195.44,-2.6100000000000136,-0.0132660971184406,4.331560283687944,4.3274,195.252288,3.352315608919383,3.352,195.42159999999998,1.0,1.0,195.44,195.44,195.252288,0.0009609199884893623
1177,2026-05-07,2026-05-08,45.12,44.72,-0.3999999999999986,-0.0089047783429597,58.3,57.85,-0.4499999999999957,-0.007748639716761,195.44,193.9,-1.539999999999992,-0.0079108647008788,4.335867620751342,4.3274,193.52132799999998,3.3517718236819363,3.352,193.9132,1.0,1.0,193.9,193.9132,193.52132799999998,0.0020229076414862144
