date,XBI,IBB,XBI log rtn,IBB log rtn,XBI div,XBI div cumsum,IBB div,IBB div cumsum,XBI div adjustment,IBB div adjustment,XBI*,IBB*,IBB/XBI,IBB/XBI avg,IBB/XBI 10 dma,IBB/XBI 20 dma,XBI x avg,XBI x 10 dma,XBI x 20 dma,log diff XBI x avg / IBB,log diff XBI x 10 dma / IBB,log diff XBI x 20 dma / IBB,IBB*/XBI*,IBB*/XBI* avg,IBB*/XBI* 10 dma,IBB*/XBI* 20 dma,XBI* x avg,XBI* x 10 dma,XBI* x 20 dma,log diff XBI* x avg / IBB*,log diff XBI* x 10 dma / IBB*,log diff XBI* x 20 dma / IBB*
2026-07-15,156.22,189.9,0.004941133677388498,0.006498160594718695,0.0,0.138094,0.0,0.145592,0.0,0.0,156.22,189.9,1.215593393931635,1.3022492118915743,1.2121494383899374,1.2160929396921378,203.43737188170172,189.14701325895695,190.34242224984945,0.06886058481708497,-0.003973057194523777,0.0023270546557191845,1.215593393931635,1.3022759807794742,1.2121494383899376,1.2161186978996281,203.44155371736946,189.14701325895692,190.34780762454562,0.06888114049301113,-0.003973057194523889,0.002355347342391494
2026-07-16,152.0,189.51,-0.027384749335874807,-0.0020558242395215956,0.0,0.138094,0.0,0.145592,0.0,0.0,152.0,189.51,1.2467763157894736,1.3022492118915743,1.215383441735094,1.2150949740422736,197.9418802075193,184.24671463527048,184.84612683320495,0.04353165972073187,-0.02816609368441822,-0.024918061441265144,1.2467763157894736,1.3022759807794742,1.2153834417350937,1.2151119491848903,197.94594907848008,184.2467146352705,184.85004208074346,0.0435522153966578,-0.028166093684418105,-0.02489688054804591
2026-07-17,154.26,189.76,0.014758969659576678,0.0013183222306420047,0.0,0.138094,0.0,0.145592,0.0,0.0,154.26,189.76,1.230130947750551,1.3022492118915743,1.2164346768566527,1.2143875892969365,200.88496342639422,187.48504972205558,187.44055069576112,0.05697230714966642,-0.012061008393588013,-0.012298383629922041,1.230130947750551,1.3022759807794742,1.2164346768566527,1.2143960365681132,200.88909279504168,187.48504972205555,187.44316928126116,0.05699286282559261,-0.012061008393588236,-0.012284413508732201
2026-07-20,150.94,186.53,-0.021757083649130676,-0.01716803175288929,0.0,0.138094,0.0,0.145592,0.0,0.0,150.94,186.53,1.2357890552537432,1.3022492118915743,1.2185596926985496,1.2144800551352348,196.56149604291423,183.60865012474315,183.29966272847957,0.05238325525342517,-0.015785493010720072,-0.01746976920988833,1.2357890552537432,1.3022759807794742,1.2185596926985496,1.2144800551352348,196.56553653885382,183.60865012474315,183.30093775959102,0.05240381092935116,-0.015785493010720072,-0.017462813241405244
2026-07-21,154.5,189.31,0.023311689481077764,0.014793798965347438,0.0,0.138094,0.0,0.145592,0.0,0.0,154.5,189.31,1.2253074433656959,1.3022492118915743,1.2201225966738574,1.2150708078053707,201.1975032372482,188.2674725219259,187.6371685183938,0.06090114576915561,-0.0055222051273909846,-0.008875739643473015,1.2253074433656959,1.3022759807794742,1.2201225966738574,1.215070807805371,201.20163903042877,188.2674725219259,187.6371685183938,0.06092170144508165,-0.0055222051273909846,-0.008875739643473015
2026-07-22,152.11,187.0,-0.015590153014148537,-0.01227726616723197,0.0,0.138094,0.0,0.145592,0.0,0.0,152.11,187.0,1.2293734797186247,1.3022492118915743,1.2225837833890467,1.2159770115471342,198.0851276208274,185.59284818006046,184.82442057527496,0.05758825892223912,-0.007553330757526581,-0.01170232040740985,1.2293734797186247,1.3022759807794742,1.2225837833890467,1.2159770115471342,198.08919943636582,185.59284818006046,184.82442057527498,0.05760881459816502,-0.007553330757526581,-0.011702320407409737
2026-07-23,152.23,188.98,0.0007885917475109483,0.010532572499893152,0.0,0.138094,0.0,0.145592,0.0,0.0,152.23,188.98,1.2414110227944557,1.3022492118915743,1.226600707436206,1.217420350075809,198.24139752625433,186.11392934531457,185.10818046782023,0.04784427816985683,-0.015282179795238743,-0.020700775895728923,1.2414110227944557,1.3022759807794742,1.2266007074362058,1.217420350075809,198.24547255405935,186.11392934531457,185.10818046782023,0.047864833845782884,-0.015282179795238743,-0.020700775895728923
2026-07-24,150.48,188.14,-0.011562350078387738,-0.004454822810674484,0.0,0.138094,0.0,0.145592,0.0,0.0,150.48,188.14,1.2502658160552897,1.3022492118915743,1.230857622940999,1.2193524679779864,195.9624614054441,184.57887445500026,183.19741427940772,0.04073675090214357,-0.019109490595807247,-0.0266220285987543,1.2502658160552897,1.3022759807794742,1.230857622940999,1.2193524679779864,195.96648958769526,184.57887445500023,183.19741427940772,0.040757306578069766,-0.01910949059580736,-0.0266220285987543
2026-07-27,150.59,188.33,0.0007307271059531384,0.001009376662850493,0.0,0.138094,0.0,0.145592,0.0,0.0,150.59,188.33,1.2506142506142506,1.3022492118915743,1.2338963880307492,1.221592280779004,196.10570881875216,185.35484943868505,183.62228815280497,0.04045810134524614,-0.015923650268956615,-0.025314877220279853,1.2506142506142506,1.3022759807794742,1.2338963880307492,1.2215922807790038,196.10973994558103,185.35484943868505,183.62228815280497,0.04047865702117229,-0.015923650268956615,-0.025314877220279853
2026-07-28,149.78,190.52,-0.005393361277507011,0.01156143272600392,0.0,0.138094,0.0,0.145592,0.0,0.0,149.78,190.52,1.271998931766591,1.3022492118915743,1.239726065704031,1.2252497095225983,195.05088695711999,184.81300099924562,182.97009181507923,0.023503307341735256,-0.0304126674721231,-0.0404344691523036,1.271998931766591,1.3022759807794742,1.2397260657040312,1.2252497095225985,195.05489640114965,184.81300099924562,182.9700918150792,0.02352386301766152,-0.0304126674721231,-0.04043446915230372
