date,EMB,EMLC,VWOB
2023-03-22,85.55,24.99,61.85
2023-03-23,85.86,24.98,61.97
2023-03-24,85.39,24.85,61.65
2023-03-27,85.03,24.87,61.41
2023-03-28,84.73,24.98,61.18
2023-03-29,85.14,25.02,61.44
2023-03-30,85.73,25.2,61.87
2023-03-31,86.28,25.25,62.31
2023-04-03,86.24,25.16,62.21
2023-04-04,86.36,25.2,62.26
2023-04-05,86.18,25.14,62.19
2023-04-06,86.09,25.05,62.13
2023-04-10,85.64,24.93,61.85
2023-04-11,85.73,25.01,61.9
2023-04-12,85.98,25.15,62.1
2023-04-13,86.07,25.3,62.16
2023-04-14,85.89,25.14,62.07
2023-04-17,85.34,25.01,61.65
2023-04-18,85.32,25.02,61.68
2023-04-19,84.91,24.87,61.49
2023-04-20,84.81,25.0,61.46
2023-04-21,84.82,24.98,61.39
2023-04-24,85.05,24.97,61.5
2023-04-25,85.57,24.92,61.81
2023-04-26,85.34,24.96,61.63
2023-04-27,85.36,25.02,61.63
2023-04-28,86.15,25.14,62.17
2023-05-01,84.95,24.83,61.24
2023-05-02,85.31,25.05,61.59
2023-05-03,85.58,25.19,61.79
2023-05-04,85.15,25.21,61.46
2023-05-05,85.39,25.35,61.63
2023-05-08,85.05,25.26,61.41
2023-05-09,85.01,25.24,61.3
2023-05-10,85.48,25.41,61.7
2023-05-11,85.75,25.3,62.0
2023-05-12,85.21,25.19,61.53
2023-05-15,84.84,25.47,61.16
2023-05-16,84.51,25.37,60.95
2023-05-17,84.52,25.34,60.89
2023-05-18,84.18,25.17,60.66
2023-05-19,84.17,25.14,60.7
2023-05-22,84.16,25.1,60.66
2023-05-23,84.26,25.13,60.73
2023-05-24,84.12,25.1,60.6
2023-05-25,83.9,24.93,60.43
2023-05-26,84.25,25.08,60.66
2023-05-30,84.89,25.08,61.12
2023-05-31,84.78,25.0,61.12
2023-06-01,84.99,25.08,61.15
2023-06-02,84.86,25.03,61.08
2023-06-05,85.14,25.13,61.39
2023-06-06,85.29,25.21,61.48
2023-06-07,84.79,25.12,61.09
2023-06-08,85.27,25.32,61.43
2023-06-09,85.17,25.36,61.28
2023-06-12,85.64,25.38,61.62
2023-06-13,85.51,25.35,61.55
2023-06-14,85.69,25.52,61.74
2023-06-15,86.13,25.65,61.97
2023-06-16,85.79,25.58,61.84
2023-06-20,85.83,25.53,61.8
2023-06-21,86.28,25.71,62.1
2023-06-22,85.95,25.56,61.89
2023-06-23,86.05,25.47,61.96
2023-06-26,86.32,25.49,62.17
2023-06-27,86.32,25.59,62.1
2023-06-28,86.38,25.51,62.2
2023-06-29,85.92,25.39,61.84
2023-06-30,86.54,25.56,62.27
2023-07-03,86.36,25.51,62.05
2023-07-05,85.92,25.4,61.9
2023-07-06,84.69,25.09,60.95
2023-07-07,84.59,25.27,60.86
2023-07-10,84.95,25.35,61.13
2023-07-11,85.49,25.48,61.54
2023-07-12,86.51,25.82,62.12
2023-07-13,87.45,26.05,62.84
2023-07-14,86.94,25.96,62.37
2023-07-17,87.07,26.01,62.57
2023-07-18,87.5,26.04,62.67
2023-07-19,87.26,25.97,62.66
2023-07-20,86.73,25.82,62.26
2023-07-21,87.0,25.84,62.34
2023-07-24,87.17,25.85,62.49
2023-07-25,87.06,25.83,62.5
2023-07-26,87.34,25.91,62.58
2023-07-27,86.51,25.68,62.12
2023-07-28,87.56,25.9,62.79
2023-07-31,87.68,25.9,62.89
2023-08-01,86.46,25.49,62.06
2023-08-02,85.84,25.37,61.61
2023-08-03,85.11,25.14,61.1
2023-08-04,86.24,25.33,61.84
2023-08-07,85.96,25.23,61.75
2023-08-08,86.18,25.16,61.84
2023-08-09,86.36,25.2,61.88
2023-08-10,86.03,25.22,61.69
2023-08-11,85.83,25.19,61.65
2023-08-14,85.14,25.03,61.05
2023-08-15,84.42,24.95,60.65
2023-08-16,84.26,24.87,60.51
