date,IYJ,IYK
2023-06-07,101.58,65.31
2023-06-08,101.37,65.6733
2023-06-09,101.19,65.6967
2023-06-12,102.05,65.56
2023-06-13,102.86,65.7567
2023-06-14,102.46,65.7167
2023-06-15,104.01,66.4667
2023-06-16,103.79,66.6367
2023-06-20,103.1,66.2167
2023-06-21,103.33,66.5233
2023-06-22,102.77,66.8767
2023-06-23,102.09,66.45
2023-06-26,102.49,66.54
2023-06-27,103.78,66.63
2023-06-28,103.78,66.1567
2023-06-29,105.11,66.23
2023-06-30,106.04,66.7633
2023-07-03,106.28,67.1367
2023-07-05,105.74,67.0967
2023-07-06,104.81,66.98
2023-07-07,105.01,66.3167
2023-07-10,106.24,66.1467
2023-07-11,107.61,66.2433
2023-07-12,107.88,66.3133
2023-07-13,108.29,66.68
2023-07-14,107.92,66.88
2023-07-17,108.52,66.5633
2023-07-18,108.99,66.56
2023-07-19,108.98,67.26
2023-07-20,108.8,67.92
2023-07-21,108.4,68.1467
2023-07-24,108.83,68.35
2023-07-25,108.84,68.2967
2023-07-26,109.17,68.38
2023-07-27,108.23,67.81
2023-07-28,108.77,68.43
2023-07-31,109.16,68.0933
2023-08-01,109.74,67.8633
2023-08-02,108.42,68.28
2023-08-03,107.8,68.0367
2023-08-04,107.2,67.27
2023-08-07,108.39,67.8
2023-08-08,107.73,67.3533
2023-08-09,107.47,67.43
2023-08-10,107.45,67.2267
2023-08-11,107.44,67.4167
2023-08-14,107.71,67.1233
2023-08-15,106.3,66.42
2023-08-16,105.67,66.1067
2023-08-17,104.74,65.3433
2023-08-18,104.71,65.6167
2023-08-21,104.68,65.2733
2023-08-22,104.69,64.97
2023-08-23,105.71,65.3167
2023-08-24,104.55,65.0833
2023-08-25,105.43,65.4967
2023-08-28,106.37,65.8033
2023-08-29,107.37,65.9267
2023-08-30,107.87,65.9167
2023-08-31,107.54,65.49
2023-09-01,108.3,65.08
2023-09-05,106.53,64.4433
2023-09-06,106.21,64.2667
2023-09-07,105.83,64.5
